config,workload,case,name,case_label,shape,case_key,status,cpu_cycles,hw_cycles,speedup,speedup_x100,mismatches,source
2x2,matmul-benchmark,0,matmul_m2_n2_k2_rng,M2 N2 K2,M=2 N=2 K=2,M=2 N=2 K=2,PASS,624,170,3.6705882352941175,367,0,software/uartlog/atik_2x2/matmul.txt
2x2,matmul-benchmark,1,matmul_m4_n4_k4_rng,M4 N4 K4,M=4 N=4 K=4,M=4 N=4 K=4,PASS,1554,559,2.7799642218246867,278,0,software/uartlog/atik_2x2/matmul.txt
2x2,matmul-benchmark,2,matmul_m8_n8_k8_rng,M8 N8 K8,M=8 N=8 K=8,M=8 N=8 K=8,PASS,10125,2771,3.653915553951642,365,0,software/uartlog/atik_2x2/matmul.txt
2x2,matmul-benchmark,3,matmul_m16_n16_k16_rng,M16 N16 K16,M=16 N=16 K=16,M=16 N=16 K=16,PASS,75710,18973,3.99040742107205,399,0,software/uartlog/atik_2x2/matmul.txt
2x2,matmul-benchmark,4,matmul_m32_n32_k32_rng,M32 N32 K32,M=32 N=32 K=32,M=32 N=32 K=32,PASS,580670,144041,4.031282759769788,403,0,software/uartlog/atik_2x2/matmul.txt
2x2,matmul-benchmark,5,matmul_m16_n16_k64_rng,M16 N16 K64,M=16 N=16 K=64,M=16 N=16 K=64,PASS,285342,71449,3.9936458172962532,399,0,software/uartlog/atik_2x2/matmul.txt
2x2,matmul-benchmark,6,matmul_m64_n16_k64_rng,M64 N16 K64,M=64 N=16 K=64,M=64 N=16 K=64,PASS,1142788,283275,4.034199982349307,403,0,software/uartlog/atik_2x2/matmul.txt
2x2,matmul-benchmark,7,matmul_m64_n64_k64_rng,M64 N64 K64,M=64 N=64 K=64,M=64 N=64 K=64,PASS,4556391,1129281,4.034771682158825,403,0,software/uartlog/atik_2x2/matmul.txt
2x2,attention-benchmark,0,attention_q2_kv2_d2_v2_zero_scores,Q2 KV2 D2 V2,q=2 kv=2 d=2 value=2 causal=0,q=2 kv=2 d=2 value=2 causal=0,PASS,4263,269,15.847583643122677,1585,0,software/uartlog/atik_2x2/attn.txt
2x2,attention-benchmark,1,attention_q4_kv4_d4_v4_rng,Q4 KV4 D4 V4,q=4 kv=4 d=4 value=4 causal=0,q=4 kv=4 d=4 value=4 causal=0,PASS,23660,1280,18.484375,1848,0,software/uartlog/atik_2x2/attn.txt
2x2,attention-benchmark,2,causal_attention_q4_kv4_d4_v4_rng,Causal Q4 KV4 D4 V4,q=4 kv=4 d=4 value=4 causal=1,q=4 kv=4 d=4 value=4 causal=1,PASS,14956,1284,11.64797507788162,1165,0,software/uartlog/atik_2x2/attn.txt
2x2,attention-benchmark,3,attention_q8_kv8_d8_v8_rng,Q8 KV8 D8 V8,q=8 kv=8 d=8 value=8 causal=0,q=8 kv=8 d=8 value=8 causal=0,PASS,194542,10620,18.318455743879472,1832,0,software/uartlog/atik_2x2/attn.txt
2x2,attention-benchmark,4,attention_q16_kv16_d16_v16_rng,Q16 KV16 D16 V16,q=16 kv=16 d=16 value=16 causal=0,q=16 kv=16 d=16 value=16 causal=0,PASS,1900025,128726,14.76022714913848,1476,0,software/uartlog/atik_2x2/attn.txt
2x2,attention-benchmark,5,causal_attention_q16_kv16_d16_v16_rng,Causal Q16 KV16 D16 V16,q=16 kv=16 d=16 value=16 causal=1,q=16 kv=16 d=16 value=16 causal=1,PASS,1039611,128798,8.071639311169427,807,0,software/uartlog/atik_2x2/attn.txt
2x2,attention-benchmark,6,attention_q32_kv32_d32_v32_rng,Q32 KV32 D32 V32,q=32 kv=32 d=32 value=32 causal=0,q=32 kv=32 d=32 value=32 causal=0,PASS,21266404,1782820,11.928519985191999,1193,0,software/uartlog/atik_2x2/attn.txt
2x2,attention-benchmark,7,attention_q64_kv64_d64_v64_rng,Q64 KV64 D64 V64,q=64 kv=64 d=64 value=64 causal=0,q=64 kv=64 d=64 value=64 causal=0,PASS,270199338,26429574,10.22337091017812,1022,0,software/uartlog/atik_2x2/attn.txt
2x2,attention-benchmark,8,attention_q128_kv128_d128_v128_rng,Q128 KV128 D128 V128,q=128 kv=128 d=128 value=128 causal=0,q=128 kv=128 d=128 value=128 causal=0,PASS,3795617785,406397095,9.339677452664862,934,0,software/uartlog/atik_2x2/attn.txt
2x2,attention-benchmark,9,causal_attention_q128_kv128_d64_v16_rng,Causal Q128 KV128 D64 V16,q=128 kv=128 d=64 value=16 causal=1,q=128 kv=128 d=64 value=16 causal=1,PASS,150015717,26420936,5.677910767430798,568,0,software/uartlog/atik_2x2/attn.txt
2x2,attention-benchmark,10,attention_q8_kv32_d16_v64_rng,Q8 KV32 D16 V64,q=8 kv=32 d=16 value=64 causal=0,q=8 kv=32 d=16 value=64 causal=0,PASS,7142223,511096,13.974327719254308,1397,0,software/uartlog/atik_2x2/attn.txt
2x2,attention-benchmark,11,attention_q32_kv8_d64_v16_rng,Q32 KV8 D64 V16,q=32 kv=8 d=64 value=16 causal=0,q=32 kv=8 d=64 value=16 causal=0,PASS,4562713,416032,10.967216464118145,1097,0,software/uartlog/atik_2x2/attn.txt
2x2,attention-benchmark,12,attention_q16_kv128_d32_v8_rng,Q16 KV128 D32 V8,q=16 kv=128 d=32 value=8 causal=0,q=16 kv=128 d=32 value=8 causal=0,PASS,12433446,889482,13.978299729505487,1398,0,software/uartlog/atik_2x2/attn.txt
2x2,attention-benchmark,13,attention_q64_kv16_d8_v128_rng,Q64 KV16 D8 V128,q=64 kv=16 d=8 value=128 causal=0,q=64 kv=16 d=8 value=128 causal=0,PASS,43540856,2594728,16.780508785506612,1678,0,software/uartlog/atik_2x2/attn.txt
2x2,attention-benchmark,14,attention_q128_kv64_d16_v32_rng,Q128 KV64 D16 V32,q=128 kv=64 d=16 value=32 causal=0,q=128 kv=64 d=16 value=32 causal=0,PASS,116905160,8145026,14.352951113968206,1435,0,software/uartlog/atik_2x2/attn.txt
2x2,attention-benchmark,15,attention_q32_kv128_d128_v64_rng,Q32 KV128 D128 V64,q=32 kv=128 d=128 value=64 causal=0,q=32 kv=128 d=128 value=64 causal=0,PASS,481490182,50799698,9.478209535812594,948,0,software/uartlog/atik_2x2/attn.txt
2x2,vit,0,vit_l1_img32_p4_d64_h4_mlp128_cls10,S65 D64 H4 C10,seq=65 patches=64 patch_dim=48 d_model=64 heads=4 head_dim=16 hidden=128 layers=1 classes=10,seq=65 patches=64 patch_dim=48 d_model=64 heads=4 head_dim=16 hidden=128 layers=1 classes=10,PASS,168132371,22959409,7.3230269559638925,732,0,software/uartlog/atik_2x2/vit.txt
