hardware,testbench,case,shape,max_diff,software_cycles,hardware_cycles,speedup
iri,attnopr,0,q_rows=8 kv_rows=8 d_k=16 value_cols=8,0.00292,62755,5226,12.00
iri,attnopr,1,q_rows=8 kv_rows=9 d_k=16 value_cols=8,0.00170,68377,5578,12.25
iri,attnopr,2,q_rows=8 kv_rows=16 d_k=16 value_cols=8,0.00244,120422,6532,18.43
iri,attnopr,3,q_rows=16 kv_rows=16 d_k=16 value_cols=16,0.00219,272238,14051,19.37
iri,attnopr,4,q_rows=8 kv_rows=64 d_k=64 value_cols=8,0.00244,952237,58164,16.37
iri,attnopr,5,q_rows=8 kv_rows=8 d_k=16 value_cols=8,0.00292,61182,4735,12.92
iri,attnopr,6,q_rows=8 kv_rows=9 d_k=16 value_cols=8,0.00640,68245,5249,13.00
iri,attnopr,7,q_rows=8 kv_rows=16 d_k=16 value_cols=8,0.01074,120370,6426,18.73
iri,attnopr,8,q_rows=16 kv_rows=16 d_k=16 value_cols=16,0.01367,271972,13798,19.71
iri,attnopr,9,q_rows=8 kv_rows=64 d_k=64 value_cols=8,0.00567,952461,48623,19.58
iri,attnopr,10,q_rows=8 kv_rows=8 d_k=16 value_cols=8,0.00390,64062,4611,13.89
iri,attnopr,11,q_rows=8 kv_rows=8 d_k=16 value_cols=8,0.00195,60941,4581,13.30
iri,attnopr,12,q_rows=8 kv_rows=8 d_k=16 value_cols=8,0.00195,60747,4611,13.17
iri,attnopr,13,q_rows=8 kv_rows=256 d_k=64 value_cols=64,0.04321,5769686,365483,15.78
iri,attnopr,14,q_rows=8 kv_rows=256 d_k=64 value_cols=64,0.00292,5577900,334734,16.66
iri,attnopr,15,q_rows=8 kv_rows=256 d_k=64 value_cols=64,0.00634,5598138,329553,16.98
iri,attnopr,16,q_rows=128 kv_rows=128 d_k=64 value_cols=64,0.07507,44699338,723374,61.79
iri,attnopr,17,q_rows=128 kv_rows=128 d_k=64 value_cols=64,0.00221,43273190,716367,60.40
iri,attnopr,18,q_rows=128 kv_rows=128 d_k=64 value_cols=64,0.00872,43380712,715212,60.65
iri,attnopr,19,q_rows=197 kv_rows=197 d_k=64 value_cols=64,0.05773,106002706,1411093,75.12
iri,attnopr,20,q_rows=197 kv_rows=197 d_k=64 value_cols=64,0.00244,102556417,1406445,72.91
iri,attnopr,21,q_rows=197 kv_rows=197 d_k=64 value_cols=64,0.00781,102945313,1407163,73.15
iri,attnopr,22,q_rows=256 kv_rows=256 d_k=256 value_cols=128,0.06164,567526706,6149069,92.29
iri,attnopr,23,q_rows=256 kv_rows=256 d_k=256 value_cols=128,0.00317,561633130,6133571,91.56
iri,attnopr,24,q_rows=256 kv_rows=256 d_k=256 value_cols=128,0.00934,562272531,6134490,91.65
iri,attnopr,25,q_rows=8 kv_rows=512 d_k=64 value_cols=64,0.00457,13629216,713574,19.09
iri,attnopr,26,q_rows=64 kv_rows=512 d_k=256 value_cols=64,0.00469,230807393,3537825,65.23
iri,attnopr,27,q_rows=32 kv_rows=512 d_k=512 value_cols=64,0.00439,198102923,5118307,38.70
vasat,attnopr,0,q_rows=8 kv_rows=8 d_k=16 value_cols=8,0.00292,62791,5349,11.73
vasat,attnopr,1,q_rows=8 kv_rows=9 d_k=16 value_cols=8,0.00170,68323,5598,12.20
vasat,attnopr,2,q_rows=8 kv_rows=16 d_k=16 value_cols=8,0.00244,120220,6459,18.61
vasat,attnopr,3,q_rows=16 kv_rows=16 d_k=16 value_cols=16,0.00219,272279,14001,19.44
vasat,attnopr,4,q_rows=8 kv_rows=64 d_k=64 value_cols=8,0.00244,952371,57762,16.48
vasat,attnopr,5,q_rows=8 kv_rows=8 d_k=16 value_cols=8,0.00292,61244,4713,12.99
vasat,attnopr,6,q_rows=8 kv_rows=9 d_k=16 value_cols=8,0.00640,68348,5212,13.11
vasat,attnopr,7,q_rows=8 kv_rows=16 d_k=16 value_cols=8,0.01074,120284,6419,18.73
vasat,attnopr,8,q_rows=16 kv_rows=16 d_k=16 value_cols=16,0.01367,272046,13721,19.82
vasat,attnopr,9,q_rows=8 kv_rows=64 d_k=64 value_cols=8,0.00567,952650,48501,19.64
vasat,attnopr,10,q_rows=8 kv_rows=8 d_k=16 value_cols=8,0.00390,64280,4614,13.93
vasat,attnopr,11,q_rows=8 kv_rows=8 d_k=16 value_cols=8,0.00195,60810,4602,13.21
vasat,attnopr,12,q_rows=8 kv_rows=8 d_k=16 value_cols=8,0.00195,60808,4647,13.08
vasat,attnopr,13,q_rows=8 kv_rows=256 d_k=64 value_cols=64,0.04321,5770243,366920,15.72
vasat,attnopr,14,q_rows=8 kv_rows=256 d_k=64 value_cols=64,0.00292,5578475,332152,16.79
vasat,attnopr,15,q_rows=8 kv_rows=256 d_k=64 value_cols=64,0.00634,5599787,330241,16.95
vasat,attnopr,16,q_rows=128 kv_rows=128 d_k=64 value_cols=64,0.07507,44696906,723023,61.81
